Prod,PUBLICO TIENDA
BATERIA SAMSUNG A8 2018 / A5 2018 / A539,985
BATERIA SAMSUNG A9 2018 / A92OF,1785
BATERIA SAMSUNG J1 MINI,1200
BATERIA SAMSUNG J110 / J1 ACE / J1 2015,980
BATERIA SAMSUNG J250 / J2 PRO / J500 / J2 PRIME / G532 / J3,1290
BATERIA SAMSUNG J3 2017 / J330 / J3 PRO,1200
BATERIA SAMSUNG J4 / J400,990
BATERIA SAMSUNG J4 2018,1390
BATERIA SAMSUNG J5 / J500 / J5 2015,1390
BATERIA SAMSUNG J5 PRIME / G5700,1390
BATERIA SAMSUNG J510 / J5 2016,1390
BATERIA SAMSUNG J7 / J700 / J7 2015,1490
BATERIA SAMSUNG J7 2018,1200
BATERIA SAMSUNG J7 PRIME,1890
BATERIA SAMSUNG J701 / J7 NEO,1200
BATERIA SAMSUNG J710 / J7 2016,1200
BATERIA SAMSUNG J730 / J7 2017 / J7 PRO,1590
BATERIA SAMSUNG NOTE 10,1890
BATERIA SAMSUNG NOTE 10 PLUS,2400
BATERIA SAMSUNG NOTE 2,1890
BATERIA SAMSUNG NOTE 20 ULTRA,2990
BATERIA SAMSUNG NOTE 3,990
BATERIA SAMSUNG NOTE 4,1290
BATERIA SAMSUNG NOTE 5,1490
BATERIA SAMSUNG NOTE 8,1890
BATERIA SAMSUNG NOTE 9,1950
BATERIA SAMSUNG S10,1890
BATERIA SAMSUNG S10 PLUS,1890
BATERIA SAMSUNG S10 PLUS 5G,1890
BATERIA SAMSUNG S10E,1600
BATERIA SAMSUNG S20,2290
BATERIA SAMSUNG S20 FE // A52,2290
BATERIA SAMSUNG S20 PLUS,2600
BATERIA SAMSUNG S20 ULTRA,2990
BATERIA SAMSUNG S21 / S21 PLUS,2290
BATERIA SAMSUNG S21 ULTRA,2990
BATERIA SAMSUNG S4,1200
BATERIA SAMSUNG S4 MINI,1200
BATERIA SAMSUNG S5,990
BATERIA SAMSUNG S5 MINI,990
BATERIA SAMSUNG S6,2190
BATERIA SAMSUNG S6 EDGE,2090
BATERIA SAMSUNG S6 EDGE PLUS,2090
BATERIA SAMSUNG S7,1990
BATERIA SAMSUNG S7 EDGE,2090
BATERIA SAMSUNG S8,1780
BATERIA SAMSUNG S8 PLUS,1780
BATERIA SAMSUNG S9,1790
BATERIA SAMSUNG S9 PLUS,2190
BATERIA SONY L1 / G3312,1200
BATERIA SONY M2,1890
BATERIA SONY XA1 G3112,1890
BATERIA SONY XA1 PLUS,1890
BATERIA SONY XA1 ULTRA G3212,1890
BATERIA SONY XZ3,1890
BATERIA SONY Z3 / Z3 DUAL,1890
